Subject,Method,Accuracy,Precision,Recall,F1 Score,Fold
subject90048425,Cole-Kripke,0.7071167883211679,0.6088050314465409,0.979757085020243,0.7509697439875873,0
subject90050418,Sadeh,0.8232104121475055,0.725,0.9783132530120482,0.8328205128205127,0
subject90050418,Cole-Kripke,0.6247288503253796,0.5456953642384106,0.9927710843373494,0.7042735042735042,0
subject90050620,Sadeh,0.6041131105398457,0.5557432432432432,0.8796791443850267,0.681159420289855,0
subject90050620,Cole-Kripke,0.6118251928020566,0.5552147239263804,0.9679144385026738,0.7056530214424951,0
subject90056929,Sadeh,0.7970297029702971,0.7161904761904762,0.9616368286445013,0.8209606986899564,0
subject90056929,Cole-Kripke,0.7004950495049505,0.6195826645264848,0.9872122762148338,0.7613412228796844,0
subject90057223,Sadeh,0.700888450148075,0.6273972602739726,0.9366053169734151,0.7514356029532404,0
subject90057223,Cole-Kripke,0.629812438302073,0.5695121951219512,0.9550102249488752,0.7135217723453017,0
subject90058022,Sadeh,0.7937743190661478,0.7868080094228505,0.9556509298998569,0.8630490956072352,0
subject90058022,Cole-Kripke,0.7013618677042801,0.7004089979550102,0.9799713876967096,0.8169350029815146,0
subject90059427,Sadeh,0.88,0.838475499092559,0.9850746268656716,0.9058823529411766,0
subject90059427,Cole-Kripke,0.83125,0.7811447811447811,0.9893390191897654,0.8730009407337723,0
subject90067325,Sadeh,0.6561904761904762,0.4950213371266003,0.9830508474576272,0.6584673604541155,0
subject90067325,Cole-Kripke,0.5342857142857143,0.4195470798569726,0.9943502824858758,0.5901089689857502,0
subject90069630,Sadeh,0.7831541218637993,0.6872536136662286,0.9924098671726755,0.812111801242236,0
subject90069630,Cole-Kripke,0.6702508960573477,0.5890257558790594,0.9981024667931688,0.7408450704225352,0
subject90073928,Sadeh,0.7839922854387656,0.6948640483383686,0.9543568464730291,0.8041958041958043,0
subject90073928,Cole-Kripke,0.7010607521697203,0.612565445026178,0.970954356846473,0.7512038523274478,0
subject90074424,Sadeh,0.6097285067873304,0.5344352617079889,0.9822784810126582,0.6922390722569134,0
subject90074424,Cole-Kripke,0.5339366515837104,0.4893882646691635,0.9924050632911392,0.6555183946488294,0
subject90079227,Sadeh,0.8253692441355344,0.7392996108949417,1.0,0.8501118568232663,0
subject90079227,Cole-Kripke,0.7141615986099045,0.6340378197997776,1.0,0.7760381211708646,0
subject90082019,Sadeh,0.7400581959262852,0.5760135135135135,0.952513966480447,0.7178947368421051,0
subject90082019,Cole-Kripke,0.6818622696411252,0.5221238938053098,0.9888268156424581,0.6833976833976834,0
subject90082120,Sadeh,0.8710493046776233,0.8021978021978022,0.9681697612732095,0.8774038461538461,0
subject90082120,Cole-Kripke,0.7787610619469026,0.690566037735849,0.9708222811671088,0.807056229327453,0
subject90082221,Sadeh,0.8,0.7237026647966339,0.9866156787762906,0.8349514563106796,0
subject90082221,Cole-Kripke,0.746078431372549,0.6696658097686375,0.9961759082217974,0.8009223674096848,0
subject90083424,Sadeh,0.7533742331288343,0.6278625954198473,0.982089552238806,0.7660069848661234,0
subject90083424,Cole-Kripke,0.6723926380368098,0.5570469798657718,0.991044776119403,0.7132116004296455,0
subject90086831,Sadeh,0.794973544973545,0.7696879643387816,1.0,0.8698572628043661,0
subject90086831,Cole-Kripke,0.7513227513227513,0.7337110481586402,1.0,0.8464052287581699,0
subject90091423,Sadeh,0.6112759643916914,0.5500575373993095,0.9958333333333333,0.7086730911786508,0
subject90091423,Cole-Kripke,0.5736894164193868,0.5270121278941565,0.9958333333333333,0.6892573900504687,0
subject90091625,Sadeh,0.920814479638009,0.8981481481481481,0.97,0.9326923076923077,0
subject90091625,Cole-Kripke,0.8868778280542986,0.8344481605351171,0.998,0.9089253187613843,0
subject90092525,Sadeh,0.8259303721488596,0.7792869269949066,0.9683544303797469,0.863593603010348,0
subject90092525,Cole-Kripke,0.8127250900360145,0.7598039215686274,0.9810126582278481,0.856353591160221,0
subject90093021,Sadeh,0.6672794117647058,0.5674653215636822,0.9594882729211087,0.7131537242472267,0
subject90093021,Cole-Kripke,0.5606617647058824,0.495114006514658,0.9722814498933902,0.6561151079136691,0
subject90093122,Sadeh,0.6685552407932012,0.5911330049261084,0.9619238476953907,0.7322654462242563,0
subject90093122,Cole-Kripke,0.6166194523135033,0.5525423728813559,0.9799599198396793,0.7066473988439306,0
