Combination,Fold,Epoch,Train Loss,Validation Loss,Hidden Dimension,Number of Layers,Initial Learning Rate,Model
3,3,11,0.30882891081273556,0.31107214111834763,1,1,0.7,LSTM
3,3,12,0.304062956571579,0.30671352315694095,1,1,0.7,LSTM
3,3,13,0.29940167628228664,0.3029647002927959,1,1,0.7,LSTM
3,3,14,0.2956720568239689,0.2987912782467902,1,1,0.7,LSTM
3,3,15,0.2916063334792852,0.29597132923081515,1,1,0.7,LSTM
3,3,16,0.28807207830250264,0.2942116276361048,1,1,0.7,LSTM
3,3,17,0.28495447486639025,0.29170970283448694,1,1,0.7,LSTM
3,3,18,0.2807054214179516,0.28782833432778715,1,1,0.7,LSTM
3,3,19,0.2781400591135025,0.2841489057056606,1,1,0.7,LSTM
3,3,20,0.2756347954273224,0.2800511606037617,1,1,0.7,LSTM
3,3,21,0.2736327040940523,0.2782778452150524,1,1,0.7,LSTM
3,3,22,0.27134302705526353,0.2766690124757588,1,1,0.7,LSTM
3,3,23,0.2701603345572948,0.275218001473695,1,1,0.7,LSTM
3,3,24,0.26827906295657156,0.27345711989328264,1,1,0.7,LSTM
3,3,25,0.2667395927011967,0.271764918603003,1,1,0.7,LSTM
3,3,26,0.26502749510109425,0.26986590307205915,1,1,0.7,LSTM
3,3,27,0.26361437812447547,0.2683893421664834,1,1,0.7,LSTM
3,3,28,0.26221294403076173,0.26722485506907107,1,1,0.7,LSTM
3,3,29,0.260712143778801,0.26645496776327493,1,1,0.7,LSTM
3,3,30,0.2594683554023504,0.2653592830523849,1,1,0.7,LSTM
3,3,31,0.2582886267453432,0.26437254827469586,1,1,0.7,LSTM
3,3,32,0.2572219200432301,0.2636834652163088,1,1,0.7,LSTM
3,3,33,0.25606205239892005,0.26303677735850217,1,1,0.7,LSTM
3,3,34,0.25539332926273345,0.262416079454124,1,1,0.7,LSTM
3,3,35,0.2544404100626707,0.2619508869946003,1,1,0.7,LSTM
